,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
51,28,0,2,1434,2,5,4,2,3,1,50,3,1,8,3,2,11179,1,1,13,3,3,0.0,2,3.0,2,2,2,2.0,2
52,44,1,2,1488,1,1,5,3,2,0,75,3,2,7,1,0,4009,5,1,21,3,3,1.0,9,2.0,2,4,3,1.0,3
53,35,1,0,1097,2,11,2,4,3,1,79,2,3,2,1,1,8302,2,1,13,3,3,1.0,10,3.0,3,4,0,2.0,3
54,26,1,2,1443,1,23,3,3,3,0,47,2,2,7,4,1,21436,7,1,19,3,3,1.0,5,2.0,2,2,2,0.0,0
55,33,1,1,515,2,1,2,5,1,0,98,3,3,0,4,2,15146,1,1,12,3,3,0.0,15,1.0,3,15,14,7.5,12
56,35,1,1,853,1,18,5,5,2,1,71,3,3,7,1,1,11031,1,0,22,3,4,1.0,9,3.0,2,9,8,1.0,8
57,35,1,2,1142,2,23,4,4,3,0,30,3,1,8,1,1,16002,3,1,15,3,3,1.0,4,3.0,3,2,2,2.0,2
58,31,1,2,655,2,7,4,5,4,1,48,3,2,8,4,0,9528,3,0,22,3,4,1.0,10,3.0,2,7,7,1.0,7
59,37,1,2,1115,2,1,4,5,1,1,51,2,2,3,3,0,2689,1,0,18,3,3,1.0,7,2.0,4,7,5,0.0,7
60,32,1,2,427,2,1,3,4,1,1,33,3,2,3,4,1,10877,1,1,22,3,2,1.0,9,3.0,3,9,8,7.0,8
61,38,1,1,653,2,29,5,5,4,0,50,3,2,8,4,2,5456,1,0,11,3,4,0.0,10,2.0,3,10,3,7.5,9
62,50,1,2,989,2,7,2,4,2,0,43,2,5,0,3,0,16701,5,1,12,3,4,1.0,10,2.0,2,18,3,7.5,8
63,59,1,2,1435,1,25,3,5,1,0,99,3,3,7,1,2,2354,7,0,11,3,4,0.0,28,3.0,2,18,3,7.0,9
64,36,1,2,1223,2,8,3,2,3,0,59,3,3,2,3,0,8202,1,0,13,3,2,2.5,17,2.0,3,17,14,7.5,8
65,55,1,2,836,2,8,3,4,4,0,33,3,4,1,3,0,19730,2,1,14,3,3,2.5,21,2.0,3,5,0,0.0,2
66,36,1,1,1195,2,11,3,5,2,1,95,2,2,3,2,2,22656,1,0,13,3,3,0.0,6,3.0,3,6,5,0.0,3
67,45,1,2,1339,2,7,3,5,2,1,59,3,3,6,1,0,18787,2,0,17,3,3,1.0,25,2.0,3,1,0,0.0,0
68,35,1,1,664,2,1,3,4,2,1,79,3,1,6,1,1,5868,4,0,13,3,4,1.0,5,2.0,2,3,2,1.0,2
69,36,0,2,318,2,9,3,4,4,1,79,2,1,6,3,1,21777,0,1,17,3,1,1.0,2,0.5,2,1,0,0.0,0
70,59,1,1,1225,1,1,1,5,1,0,57,2,2,7,3,2,24668,7,0,11,3,4,0.0,20,2.0,2,4,3,1.0,3
71,29,1,2,1328,2,2,3,5,3,1,76,3,1,6,2,1,4956,0,0,23,3,4,1.0,6,3.0,3,5,4,0.0,4
72,31,1,2,1082,2,1,4,4,3,1,87,3,1,6,2,2,18775,1,0,17,3,2,0.0,1,4.0,3,1,1,1.0,0
73,32,1,2,548,2,1,3,5,2,1,66,3,2,6,2,1,7346,1,0,17,3,2,2.0,10,3.0,3,10,4,0.0,9
74,36,1,2,132,2,6,3,5,2,0,55,4,1,8,4,1,22002,3,0,12,3,2,0.0,5,3.0,3,1,0,0.0,0
75,31,1,2,746,2,8,4,5,3,0,61,3,2,3,4,2,20682,1,0,23,3,4,0.0,11,2.0,3,11,7,1.0,8
76,35,1,2,776,1,1,4,3,3,1,32,2,2,7,1,2,23016,0,0,14,3,2,0.0,16,2.0,3,15,13,2.0,8
77,45,1,2,193,2,6,4,1,4,1,52,3,3,0,1,1,15067,4,1,14,3,2,0.0,17,3.0,4,0,0,0.0,0
78,37,1,2,397,2,7,4,4,1,1,30,3,3,0,3,2,25258,4,0,13,3,1,0.0,16,3.0,4,5,2,0.0,2
79,46,1,2,945,0,5,2,4,2,1,80,3,2,4,2,0,10425,8,1,22,3,4,1.0,16,2.0,3,4,2,0.0,2
80,30,1,2,852,2,1,1,5,4,1,55,2,2,8,4,1,15998,1,1,12,3,3,2.0,10,1.0,2,10,8,3.0,0
81,35,1,2,1214,2,1,3,4,2,1,30,2,1,6,3,2,26278,1,0,18,3,1,0.0,6,3.0,3,6,4,0.0,4
82,55,1,2,111,1,1,2,5,1,1,70,3,3,7,4,1,18092,3,0,14,3,4,1.0,24,4.0,3,1,0,1.0,0
83,38,1,0,573,2,6,3,4,2,0,79,1,2,6,4,0,15717,7,1,12,3,4,2.5,17,3.0,3,13,11,1.0,9
84,34,1,2,1153,2,1,2,4,1,1,94,3,2,3,2,1,17736,1,0,15,3,3,0.0,5,2.0,3,5,2,1.0,3
85,56,1,2,1400,2,7,3,5,4,1,49,1,3,3,4,2,21698,4,0,11,3,1,0.0,10,3.0,2,6,4,0.0,2
86,23,1,2,541,1,2,1,2,3,1,62,3,1,5,1,0,9518,3,0,13,3,3,1.0,3,3.0,3,0,0,0.0,0
87,51,1,2,432,2,9,4,5,4,1,96,3,1,8,4,1,18725,3,0,23,3,2,2.0,10,4.0,3,4,2,0.0,3
88,30,1,2,288,2,2,3,5,3,1,99,2,2,2,4,1,15830,1,0,19,3,1,2.5,11,3.0,3,11,10,7.5,8
89,46,0,2,669,1,9,2,4,3,1,64,2,3,7,4,2,13596,1,0,16,3,4,0.0,9,3.0,3,9,8,4.0,7
90,40,1,1,530,2,1,4,5,3,1,78,2,4,2,2,1,14115,1,0,22,3,4,1.0,22,3.0,2,18,3,7.5,11
91,51,1,2,632,1,21,4,3,3,1,71,3,2,7,4,2,8423,0,1,22,3,4,0.0,11,2.0,1,10,7,1.0,0
92,30,1,2,1334,1,4,2,4,3,0,63,2,2,7,2,0,19760,1,1,12,3,2,2.5,11,4.0,2,11,8,2.0,7
93,46,1,1,638,2,1,3,4,3,1,40,2,3,2,1,1,3142,2,1,13,3,3,1.0,21,4.5,2,10,9,7.5,5
94,32,1,2,1093,1,6,4,4,2,1,87,3,2,7,3,2,24301,1,0,16,3,1,0.0,12,0.5,3,11,8,5.0,7
95,54,1,2,1217,2,2,4,2,1,0,60,3,3,0,3,1,24001,2,0,12,3,1,1.0,16,4.5,1,4,3,0.0,3
96,24,1,2,1353,1,3,2,1,1,0,33,3,2,7,3,1,17519,0,0,21,3,1,1.0,4,2.0,2,3,2,0.0,2
97,28,1,0,120,1,4,3,4,2,1,43,3,2,7,3,1,8863,1,0,15,3,2,0.0,5,3.0,4,5,4,0.0,4
98,58,1,2,682,1,10,4,4,4,1,37,3,4,7,3,2,24409,0,0,13,3,3,0.0,10,1.0,2,18,10,1.0,8
99,44,1,0,489,2,23,3,4,2,1,67,3,2,8,2,1,25043,4,0,12,3,3,1.0,17,3.0,4,3,2,1.0,2
100,37,0,2,807,0,6,4,0,3,1,63,3,1,4,1,0,23648,4,1,22,3,4,0.0,7,3.0,3,3,2,0.0,2
101,32,1,2,827,2,1,1,5,4,1,71,3,1,6,1,2,15178,1,0,13,3,4,0.0,1,2.0,3,1,0,0.0,0
102,20,0,1,871,2,6,3,5,4,0,66,2,1,8,4,2,19783,1,1,18,3,2,0.0,1,4.5,3,1,0,1.0,0
103,34,1,2,665,2,6,4,1,1,0,41,3,2,6,3,2,12482,1,0,14,3,3,0.0,16,3.0,3,16,13,2.0,10
104,37,1,0,1040,2,2,2,5,3,1,100,2,2,2,4,0,15850,5,0,14,3,4,1.0,17,2.0,4,1,0,0.0,0
105,59,1,0,1420,0,2,4,0,3,0,32,2,5,1,4,1,21922,2,0,21,3,4,1.0,10,3.0,3,3,2,2.0,2
106,50,1,1,1115,2,1,3,5,1,0,73,3,5,0,2,1,9755,3,1,19,3,1,0.0,28,1.0,2,8,3,0.0,7
107,25,0,2,240,1,5,3,3,3,1,46,2,2,7,3,2,26959,1,1,11,3,4,0.0,6,1.0,3,6,4,0.0,3
108,25,1,2,1280,2,7,1,4,4,1,64,2,1,6,4,1,26897,1,0,11,3,3,2.0,2,2.0,3,2,2,2.0,1
109,22,1,2,534,2,15,3,4,2,0,59,3,1,8,4,2,23785,1,0,15,3,3,0.0,1,4.5,3,0,0,0.0,0
110,51,1,1,1456,2,1,4,4,1,0,30,2,3,2,1,2,25796,3,0,20,3,3,0.0,23,1.0,2,13,12,7.5,8
111,34,0,1,658,2,7,3,5,1,1,66,1,2,8,3,2,22887,1,1,24,3,4,0.0,9,3.0,3,9,7,0.0,6
112,54,1,0,142,0,26,3,0,4,0,30,4,4,1,4,2,13871,2,1,12,3,3,0.0,23,3.0,3,5,3,4.0,4
113,24,1,2,1127,2,18,1,5,2,1,52,3,1,8,3,1,13257,0,0,12,3,3,1.0,6,2.0,3,5,3,1.0,2
114,34,1,2,1031,2,6,4,5,3,0,45,2,2,6,2,0,15000,6,0,15,3,3,1.0,12,3.0,3,1,0,0.0,0
115,37,1,2,1189,1,3,3,5,3,1,87,3,3,7,4,2,14506,2,0,12,3,1,0.0,12,3.0,3,5,3,1.0,3
116,34,1,2,1354,2,5,3,4,3,0,45,2,3,1,1,2,5615,2,0,12,3,4,0.0,14,4.5,3,11,10,5.0,8
117,36,1,1,1467,1,11,2,2,2,0,92,3,3,7,4,1,22952,0,0,14,3,3,1.0,10,4.5,3,9,7,2.0,8
118,36,1,2,922,2,3,2,5,1,0,39,3,1,8,4,0,2561,5,0,22,3,1,1.0,7,2.0,3,1,0,0.0,0
119,43,1,1,394,1,26,2,5,3,1,92,3,4,1,4,1,19494,1,1,12,3,4,2.0,25,3.0,4,18,12,4.0,12
120,30,1,1,1312,2,23,3,5,1,1,96,1,1,6,3,0,22310,1,0,25,3,3,2.5,10,2.0,2,10,7,0.0,9
121,33,1,0,750,1,22,2,3,3,1,95,3,2,7,2,1,15480,0,0,13,3,1,1.0,8,2.0,4,7,7,0.0,7
122,56,0,2,441,2,14,4,5,2,0,72,3,1,6,2,1,4510,2,1,18,3,1,2.5,7,2.0,3,5,4,4.0,3
123,51,1,2,684,2,6,3,5,1,1,51,3,5,0,3,2,6462,7,0,13,3,3,0.0,23,4.5,3,18,3,7.5,3
124,31,0,2,249,1,6,4,5,2,1,76,1,2,7,3,1,20739,4,1,18,3,2,0.0,12,3.0,2,7,7,7.0,7
125,26,1,2,841,2,6,3,1,3,0,46,2,1,6,2,1,23300,1,0,19,3,3,0.0,5,3.0,2,5,4,4.0,3
126,58,0,2,147,2,23,4,4,4,0,94,3,3,2,4,1,3465,1,0,12,3,4,1.0,10,3.0,2,18,10,7.5,6
127,19,0,2,528,1,22,1,3,4,1,50,3,1,5,3,2,26820,1,1,19,3,4,0.0,0,2.0,2,0,0,0.0,0
128,22,1,2,594,2,2,1,2,3,1,100,3,1,8,4,1,19299,0,0,14,3,3,1.0,3,2.0,3,2,1,2.0,1
129,49,1,2,470,2,20,4,4,3,0,96,3,2,3,1,1,5549,1,0,14,3,3,0.0,16,2.0,2,15,11,5.0,11
130,43,1,1,957,2,28,3,4,2,0,72,4,1,6,3,2,16090,4,0,12,3,4,0.0,18,2.0,3,3,2,1.0,2
131,50,1,1,809,1,12,3,3,3,0,77,3,3,7,4,2,6645,4,0,11,3,4,0.0,16,3.0,3,2,2,2.0,1
132,31,0,2,542,1,20,3,5,2,0,71,1,2,7,3,1,24788,3,1,11,3,3,1.0,4,2.0,3,2,2,2.0,2
133,41,1,2,802,1,9,1,5,3,1,96,3,3,7,3,0,21196,3,1,13,3,3,1.0,12,2.0,3,9,7,0.0,7
134,26,1,2,1355,0,25,1,5,3,0,61,3,1,4,3,1,8916,1,0,23,3,4,1.0,8,3.0,3,8,7,5.0,7
135,36,1,2,216,2,6,2,4,2,1,84,3,2,3,2,0,2819,6,0,20,3,4,2.0,7,0.5,3,3,2,0.0,1
136,51,0,1,1150,2,8,4,5,1,1,53,1,3,3,4,2,25150,2,0,15,3,4,0.0,18,2.0,3,4,2,0.0,3
137,39,1,2,1329,1,4,4,5,4,0,47,2,2,7,3,1,14590,4,0,14,3,3,1.0,17,1.0,4,15,11,5.0,9
138,25,1,2,959,1,28,3,5,1,1,41,2,2,7,3,1,24835,2,0,18,3,4,0.0,6,3.0,3,2,2,2.0,2
139,30,1,2,1240,0,9,3,0,3,1,48,3,2,4,4,1,13982,0,1,19,3,4,0.0,12,2.0,1,11,9,4.0,7
140,32,0,2,1033,2,9,3,4,1,0,41,3,1,8,1,2,10224,7,0,22,3,1,0.0,10,2.0,4,5,4,0.0,4
141,45,1,2,1316,2,29,3,4,3,1,83,3,1,6,4,2,9752,5,0,13,3,2,0.0,9,2.0,2,6,5,0.0,3
142,38,1,2,364,2,3,5,2,4,0,32,3,2,6,3,2,2302,3,1,20,3,2,0.0,19,2.0,3,3,2,2.0,2
143,30,1,2,438,2,18,3,5,1,0,75,3,1,6,3,2,23910,1,0,14,3,3,0.0,5,4.0,2,5,4,0.0,4
144,32,1,1,689,1,9,2,4,4,1,35,1,2,7,4,0,22812,0,0,17,3,4,2.5,9,2.0,4,8,7,0.0,7
145,30,1,2,201,2,5,3,2,4,0,84,3,1,6,1,0,10415,5,0,14,3,4,1.0,8,3.0,3,3,2,2.0,2
146,30,1,2,1427,2,2,1,4,2,1,35,2,1,8,4,2,11162,0,0,13,3,4,0.0,6,3.0,3,5,3,1.0,2
147,41,1,1,857,2,10,3,5,4,1,91,2,4,1,1,0,12888,4,0,13,3,2,1.0,21,2.0,2,7,6,7.0,7
148,41,1,2,933,2,9,4,5,3,1,94,3,1,8,1,1,6961,2,0,21,3,4,1.0,7,2.0,3,5,0,1.0,4
149,19,1,2,1181,2,3,1,4,2,0,79,3,1,8,2,2,16102,1,0,14,3,4,0.0,1,3.0,3,1,0,0.0,0
150,40,1,1,1395,2,26,3,4,2,0,54,3,2,6,2,0,8504,1,0,11,3,1,1.0,20,2.0,3,18,7,2.0,13
151,35,1,2,662,1,1,5,3,3,1,94,3,3,7,2,1,11439,1,0,13,3,1,2.0,10,3.0,3,10,8,0.0,6
152,53,1,2,1436,1,6,2,3,2,1,34,3,2,5,3,1,16047,2,1,20,3,4,1.0,13,3.0,1,7,7,4.0,5
153,45,1,2,194,2,9,3,5,2,1,60,3,2,8,2,0,10901,8,0,18,3,3,1.0,20,2.0,1,17,9,0.0,3
154,32,1,1,967,1,8,3,3,2,0,43,3,3,7,4,2,15589,1,0,14,3,4,0.0,9,2.0,3,9,8,3.0,7
155,29,1,0,1496,2,1,1,2,4,1,41,3,2,3,3,1,26283,1,0,13,3,1,1.0,10,1.0,3,10,7,0.0,9
156,51,1,2,1169,2,7,4,4,2,1,34,2,2,3,3,1,13983,2,0,17,3,3,0.0,10,2.0,3,1,0,0.0,0
157,58,1,2,1145,2,9,3,4,2,0,75,2,1,6,2,1,11873,4,1,20,3,2,1.0,9,3.0,2,1,0,0.0,0
158,40,1,2,630,1,4,4,3,3,1,67,2,3,7,4,1,8552,7,0,11,3,1,1.0,15,2.0,2,12,11,2.0,11
159,34,1,1,303,1,2,4,3,3,0,75,3,1,5,3,1,11314,6,0,18,3,4,1.0,6,3.0,3,4,3,1.0,2
160,22,1,2,1256,2,19,1,4,3,1,80,3,1,6,4,1,11992,1,0,24,3,1,2.0,2,4.5,3,2,2,2.0,2
161,27,1,0,691,2,9,3,4,4,1,57,3,1,6,2,0,5970,6,0,18,3,4,1.0,6,1.0,1,2,2,2.0,2
162,28,1,2,440,2,21,3,4,3,1,42,3,1,6,4,1,6672,1,0,11,3,3,1.0,5,2.0,1,5,2,0.0,2
163,57,1,2,334,2,24,2,5,3,1,83,4,3,2,4,0,23402,3,1,16,3,2,1.0,12,2.0,1,5,3,1.0,4
164,27,1,0,1450,2,3,3,4,3,1,79,2,1,6,3,0,25326,1,1,15,3,4,1.0,1,2.0,2,1,1,0.0,1
165,50,1,2,1452,2,11,3,5,3,0,53,3,5,1,2,2,17053,3,0,15,3,2,0.0,21,4.5,3,5,4,4.0,4
166,41,1,2,465,2,14,3,5,1,1,56,3,1,6,3,0,4609,4,0,12,3,1,1.0,13,2.0,3,9,8,1.0,8
167,30,1,2,1339,1,5,3,5,2,0,41,3,3,7,4,1,8053,2,0,12,3,3,1.0,12,2.0,3,10,9,7.0,4
168,38,1,2,702,1,1,4,5,1,0,59,2,2,7,4,2,12930,4,0,22,3,3,0.0,12,2.0,4,8,3,0.0,7
169,32,1,2,120,2,6,5,5,3,1,43,3,1,6,3,2,12430,3,0,20,3,1,0.0,8,2.0,3,5,4,1.0,4
170,27,1,2,1157,2,17,3,2,3,1,51,3,1,6,2,1,13364,0,1,16,3,4,1.0,6,3.0,2,5,2,1.0,1
171,19,0,1,602,1,1,1,2,3,0,100,1,1,5,1,2,20989,0,0,21,3,1,0.0,1,4.5,4,0,0,0.0,0
172,36,1,1,1480,2,3,2,4,4,1,30,3,1,8,2,2,15062,4,0,12,3,3,0.0,13,3.0,2,8,7,7.0,2
173,30,1,0,111,2,9,3,4,3,1,66,3,2,8,1,0,11012,1,0,11,3,3,2.0,12,4.0,3,12,9,6.0,10
174,45,1,2,1268,1,4,2,5,3,0,30,3,2,7,1,0,6319,4,1,11,3,1,1.0,9,3.0,4,5,4,0.0,3
175,56,1,2,713,2,8,3,5,3,0,67,3,1,6,1,0,13939,4,1,18,3,3,1.0,19,3.0,3,2,2,2.0,2
176,33,1,2,134,2,2,3,5,3,1,90,3,1,6,4,2,10515,0,0,14,3,1,0.0,4,2.0,4,3,1,0.0,2
177,19,0,2,303,2,2,3,5,2,1,47,2,1,8,4,2,9241,1,0,22,3,3,0.0,1,3.0,2,1,0,1.0,0
178,46,1,2,526,1,1,2,3,2,0,92,3,3,7,1,0,2137,1,0,25,3,3,2.5,24,2.0,3,18,13,7.5,7
179,38,1,2,1380,2,9,2,5,3,0,75,3,1,8,4,2,6319,1,0,12,3,3,0.0,2,3.0,3,2,2,2.0,1
180,31,1,2,140,2,12,1,4,3,0,95,3,1,6,4,1,6984,8,1,23,3,3,1.0,7,0.5,3,4,2,0.0,2
181,34,1,2,629,2,27,2,4,4,0,95,3,1,6,2,2,5711,2,0,15,3,4,0.0,9,3.0,3,3,2,1.0,2
182,41,0,2,1356,1,20,2,3,2,0,70,3,1,5,2,2,21728,1,1,22,3,4,0.0,4,4.5,2,4,3,0.0,2
183,50,1,2,328,2,1,3,4,3,1,86,2,1,8,3,1,3425,2,0,15,3,4,1.0,5,2.0,2,3,2,0.0,2
184,53,1,2,1084,2,13,2,4,4,0,57,4,2,3,1,0,26250,1,0,11,3,3,2.0,5,3.0,3,4,2,1.0,3
185,33,1,2,931,2,14,3,4,4,0,72,3,1,6,2,1,4673,1,0,13,3,4,1.0,8,4.5,3,8,7,1.0,6
186,40,1,2,989,2,4,1,4,4,0,46,3,5,1,3,1,6499,1,0,14,3,2,1.0,21,2.0,3,18,8,7.5,9
187,55,1,2,692,2,14,4,4,3,1,61,4,5,0,2,2,13339,8,0,11,3,4,0.0,10,3.0,3,18,3,2.0,3
188,34,1,1,1069,2,2,1,5,4,1,45,2,2,3,3,1,14074,1,0,17,3,3,0.0,10,2.0,2,10,9,1.0,9
189,51,1,2,313,2,3,3,4,4,0,98,3,4,2,2,2,7192,3,0,18,3,3,0.0,21,4.5,3,7,7,1.0,0
190,52,1,2,699,2,1,4,5,3,1,65,2,5,1,3,1,5678,0,0,14,3,1,1.0,10,4.5,3,18,3,7.5,9
191,27,1,2,894,2,9,3,4,4,0,99,3,1,6,2,2,11781,1,0,16,3,4,0.0,7,2.0,2,7,7,0.0,3
192,35,0,2,556,2,23,2,5,2,1,50,2,2,3,3,1,15497,3,1,13,3,1,0.0,8,1.0,3,1,0,0.0,1
193,43,1,0,1344,2,7,3,4,4,1,37,4,1,6,4,0,5228,4,0,14,3,4,2.5,7,3.0,4,5,4,2.0,2
